"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"File","Save","Ctrl+S","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","Editing Xtend Source"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Text Editing","Delete Next Word","Ctrl+Delete","%context.editingText.name"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Edit","Find Next","Ctrl+K","Editing Text"
"Text Editing","Text Start","Ctrl+Home","%context.editingText.name"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Navigate","Previous","Ctrl+,","In Windows"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Text Editing","Line End","End","Editing Text"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Text Editing","Delete Previous Word","Ctrl+Backspace","%context.editingText.name"
"Uncategorized","Open Declaration","F3","Editing Xtext Source"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","%context.editingText.name"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Uncategorized","Open Call Hierarchy","Ctrl+Alt+H","Editing Xtext Source"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Text Editing","Line Start","Home","Editing Text"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Git","Commit...","Ctrl+#","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Text Editing","Select Line Start","Shift+Home","%context.editingText.name"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Edit","Incremental Find","Ctrl+J","%context.editingText.name"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Xtext Source"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
